Superfamily,Genus,Species,Sex,SexDat,Specimen ID,Scan source
Lemuroidea,Avahi,laniger,F,F,MCZ-32503,Morphosource
Lemuroidea,Avahi,laniger,M,M,MCZ-44878,Morphosource
Lemuroidea,Cheirogaleus,major,U,B,AMNH-M-100640,Morphosource
Lemuroidea,Daubentonia,madagascarensis,M,B,DLC-6915,Morphosource
Lemuroidea,Eulemur,fulvus,F,F,MCZ-16393,Morphosource
Lemuroidea,Eulemur,fulvus,M,M,MCZ-44895,Morphosource
Lemuroidea,Euoticus,elegantulus,F,F,MCZ-14658,Morphosource
Lemuroidea,Euoticus,elegantulus,M,M,MCZ-14657,Morphosource
Lemuroidea,Hapalemur,griseus,F,F,MCZ-44911,Morphosource
Lemuroidea,Hapalemur,griseus,M,M,MCZ-44913,Morphosource
Lemuroidea,Indri,indri,F,B,AMNH-M-100816,de novo
Lemuroidea,Lemur,catta,F,F,USNM-395515,HOP
Lemuroidea,Lemur,catta,M,M,MCZ-16392,Morphosource
Lemuroidea,Lepilemur,mustelinus,F,F,AMNH-M-170558,pers commâ‚Å
Lemuroidea,Lepilemur,mustelinus,M,M,USNM-49688,HOP
Lemuroidea,Loris,lydekkerianus,F,F,USNM-256737,HOP
Lemuroidea,Loris,lydekkerianus,M,M,USNM-256739,HOP
Lemuroidea,Microcebus,murinus,F,F,AMNH-M-185621,de novo
Lemuroidea,Microcebus,murinus,M,M,AMNH-M-174537,de novo
Lemuroidea,Mirza,zaza,M,B,DLC-2304m,Morphosource
Lemuroidea,Propithecus,diadema,F,F,USNM-63347,HOP
Lemuroidea,Propithecus,diadema,M,M,USNM-63348,HOP
Lemuroidea,Varecia,variegata,F,F,MCZ-44906,Morphosource
Lemuroidea,Varecia,variegata,M,M,MCZ-44905,Morphosource
Galagoidea,Arctocebus,aureus,F,F,USNM-598476,HOP
Galagoidea,Arctocebus,aureus,M,M,USNM-385710,HOP
Galagoidea,Galago,senegalensis,F,F,USNM-465852,pers commâ‚Å
Galagoidea,Galago,senegalensis,M,M,USNM-465853,pers commâ‚Å
Galagoidea,Nycticebus,coucang,F,F,USNM-141141,HOP
Galagoidea,Nycticebus,coucang,M,M,USNM-114460,HOP
Galagoidea,Otolemur,crassicaudatus,F,F,AMNH-M-216241,de novo
Galagoidea,Otolemur,crassicaudatus,M,M,AMNH-M-216239,de novo
Galagoidea,Perodicticus,potto,F,F,USNM-450054,HOP
Galagoidea,Perodicticus,potto,M,M,USNM-465899,HOP
Tarsoidea,Tarsius,tarsier,F,F,USNM-200279,pers commâ‚Å
Tarsoidea,Tarsius,tarsier,M,M,USNM-200283,pers commâ‚Å
Tarsoidea,Carlito,syrichta,M,M,USNM-282761,pers commâ‚Å
Tarsoidea,Cephalopachus,bancanus,F,F,USNM-488084,pers commâ‚Å
Ceboidea,Alouatta,caraya,F,F,MCZ-28655,Morphosource
Ceboidea,Alouatta,caraya,M,M,MCZ-28095,Morphosource
Ceboidea,Aotus,trivirgatus,F,F,MCZ-19801,Morphosource
Ceboidea,Aotus,trivirgatus,M,M,MCZ-19802,Morphosource
Ceboidea,Ateles,geoffroyi,F,F,MCZ-10138,Morphosource
Ceboidea,Ateles,geoffroyi,M,M,USNM-337702,HOP
Ceboidea,Cacajao,calvus,F,F,USNM-302627,HOP
Ceboidea,Cacajao,calvus,M,M,USNM-302626,HOP
Ceboidea,Callicebus,moloch,F,F,AMNH-M-98389,de novo
Ceboidea,Callicebus,moloch,M,M,MCZ-30564,Morphosource
Ceboidea,Callimico,goeldii,F,B,AMNH-M-98367,de novo
Ceboidea,Callithrix,humeralifera,F,F,MCZ-30577,Morphosource
Ceboidea,Callithrix,humeralifera,M,M,MCZ-30586,Morphosource
Ceboidea,Cebuella,pygmaea,F,F,AMNH-M-76328,de novo
Ceboidea,Cebuella,pygmaea,M,M,AMNH-M-76327,de novo
Ceboidea,Cebus,apella,F,F,MCZ-30724,Morphosource
Ceboidea,Cebus,apella,M,M,USNM-361019,HOP
Ceboidea,Chiropotes,chiropotes,F,F,USNM-549519,HOP
Ceboidea,Chiropotes,chiropotes,M,M,USNM-518225,HOP
Ceboidea,Lagothrix,lagotricha,F,F,USNM-461931,HOP
Ceboidea,Lagothrix,lagotricha,M,M,USNM-545880,HOP
Ceboidea,Leontopithecus,rosalia,F,F,USNM-337334,HOP
Ceboidea,Leontopithecus,rosalia,M,M,USNM-518588,HOP
Ceboidea,Pithecia,pithecia,F,F,MCZ-30719,Morphosource
Ceboidea,Pithecia,pithecia,M,M,USNM-374745,pers commâ‚Å
Ceboidea,Saguinus,fuscicollis,F,F,AMNH-M-74051,de novo
Ceboidea,Saguinus,fuscicollis,M,M,AMNH-M-74042,de novo
Ceboidea,Saimiri,sciureus,F,F,MCZ-30568,Morphosource
Ceboidea,Saimiri,sciureus,M,M,MCZ-27197,Morphosource
Cercopithecoidea,Allenopithecus,nigroviridis,F,F,USMN-395131,HOP
Cercopithecoidea,Allenopithecus,nigroviridis,M,M,AMNH-M-52467,Morphosource
Cercopithecoidea,Cercocebus,albigena,F,F,MCZ-14725,Morphosource
Cercopithecoidea,Cercocebus,albigena,M,M,MCZ-22736,Morphosource
Cercopithecoidea,Cercopithecus,mitis,F,F,USNM-452531,HOP
Cercopithecoidea,Cercopithecus,petaurista,F,F,USNM-481778,HOP
Cercopithecoidea,Cercopithecus,mitis,M,M,USNM-182386,HOP
Cercopithecoidea,Cercopithecus,petaurista,M,M,USNM-481779,HOP
Cercopithecoidea,Chlorocebus,sabaeus,F,F,USNM-381449,HOP
Cercopithecoidea,Chlorocebus,sabaeus,M,M,USNM-381445,HOP
Cercopithecoidea,Colobus,polykomos,F,F,KUPRI-1105,DMM
Cercopithecoidea,Colobus,polykomos,M,M,KUPRI-1053,DMM
Cercopithecoidea,Erythrocebus,patas,F,F,MCZ-47017,Morphosource
Cercopithecoidea,Erythrocebus,patas,M,M,MCZ-47013,Morphosource
Cercopithecoidea,Macaca,fascicularis,F,F,USNM-114162,HOP
Cercopithecoidea,Macaca,nemestrina,F,F,USNM-114502,HOP
Cercopithecoidea,Macaca,fascicularis,M,M,USNM-121511,HOP
Cercopithecoidea,Macaca,nemestrina,M,M,USNM-123144,HOP
Cercopithecoidea,Mandrillus,sphinx,F,F,AMNH-M-89357,Morphosource
Cercopithecoidea,Mandrillus,sphinx,M,M,USNM-598494,HOP
Cercopithecoidea,Miopithecus,ogouensis,F,F,USNM-598534,HOP
Cercopithecoidea,Miopithecus,ogouensis,M,M,USNM-598519,HOP
Cercopithecoidea,Nasalis,larvatus,F,F,USNM-198277,HOP
Cercopithecoidea,Nasalis,larvatus,M,M,USNM-142217,HOP
Cercopithecoidea,Papio,papio,F,F,USNM-381430,HOP
Cercopithecoidea,Papio,papio,M,M,USNM-378669,HOP
Cercopithecoidea,Presbytis,rubicunda,F,F,MCZ-35704,Morphosource
Cercopithecoidea,Presbytis,rubicunda,M,M,MCZ-35712,Morphosource
Cercopithecoidea,Procolobus,badius,F,F,MCZ-24793,Morphosource
Cercopithecoidea,Procolobus,badius,M,M,MCZ-24775,Morphosource
Cercopithecoidea,Pygathrix,nigriceps,F,F,USNM-356574,HOP
Cercopithecoidea,Pygathrix,nigriceps,M,M,USNM-269798,HOP
Cercopithecoidea,Rhinopithecus,roxellana,M,M,USNM-268887,HOP
Cercopithecoidea,Semnopithecus,schistaceus,F,F,USNM-21843,HOP
Cercopithecoidea,Semnopithecus,schistaceus,M,M,USNM-21842,HOP
Cercopithecoidea,Theropithecus,gelada,F,F,USNM-319992,HOP
Cercopithecoidea,Theropithecus,gelada,M,M,USNM-305107,HOP
Cercopithecoidea,Trachypithecus,cristatus,F,F,USNM-113174,HOP
Cercopithecoidea,Trachypithecus,cristatus,M,M,USNM-113170,HOP
Hominoidea,Hoolock,hoolock,F,F,USNM-257988,HOP
Hominoidea,Hoolock,hoolock,M,M,USNM-257987,HOP
Hominoidea,Gorilla,gorilla,F,F,USNM-220060,HOP
Hominoidea,Gorilla,gorilla,M,M,USNM-176211,HOP
Hominoidea,Homo,sapiens,F,F,TC-815,HOP
Hominoidea,Homo,sapiens,M,M,TC-712,HOP
Hominoidea,Hylobates,lar,F,F,USNM-83262,HOP
Hominoidea,Hylobates,lar,M,M,USNM-104438,HOP
Hominoidea,Nomascus,concolor,F,F,USNM-464992,HOP
Hominoidea,Nomascus,concolor,M,M,USNM-320786,HOP
Hominoidea,Pan,troglodytes,F,F,USNM-220327,HOP
Hominoidea,Pan,troglodytes,M,M,USNM-220062,HOP
Hominoidea,Pongo,pygmaeus,F,F,USNM-142169,HOP
Hominoidea,Pongo,pygmaeus,M,M,USNM-521078,HOP
Hominoidea,Symphalangus,syndactylus,F,F,USNM-143580,HOP
Hominoidea,Symphalangus,syndactylus,M,M,USNM-143577,HOP
