Superfamily,Genus,Species,Sex,SexDat,MuseumID,PhysicalAlignment,BodyMass,DimorphismIndex,SocialSystem,MatingSystem,Nocturnal,Diet,Gouging,Landmark notes,Body mass notes,Social/mating system notes,Diet notes
Cercopithecoidea,Allenopithecus,nigroviridis,F,F,USNM-395131,0,3.18,0.6563136,Polygynandry,unknown,0,Omnivore,0,,ignored 'captive and fee-ranging' entry bc unclear number of individuals,unknown,"Walker, E. P. 1975. Mammals of the World. Third Edition. John's Hopkins University Press, Baltimore."
Cercopithecoidea,Allenopithecus,nigroviridis,M,M,AMNH-M-52467,0,6.13,0.6563136,Polygynandry,unknown,0,Omnivore,0,,ignored 'captive and fee-ranging' entry bc unclear number of individuals,unknown,"Walker, E. P. 1975. Mammals of the World. Third Edition. John's Hopkins University Press, Baltimore."
Ceboidea,Alouatta,caraya,F,F,MCZ-28655,0,4.33,0.3938506,Polygynandry,Harem polygyny,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Alouatta,caraya,M,M,MCZ-28095,0,6.42,0.3938506,Polygynandry,Harem polygyny,0,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Aotus,trivirgatus,F,F,MCZ-19801,0,0.736,0.09950099,Pair,Monogamy,1,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Aotus,trivirgatus,M,M,MCZ-19802,0,0.813,0.09950099,Pair,Monogamy,1,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Arctocebus,aureus,F,F,USNM-598476,0,0.21,0,Solitary,Spatial polygyny,1,Omnivore,0,,unknown sex reported,DeCasien et al 2017,DeCasien et al 2017
Galagoidea,Arctocebus,aureus,M,M,USNM-39710,0,0.21,0,Solitary,Spatial polygyny,1,Omnivore,0,,unknown sex reported,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Ateles,geoffroyi,F,F,MCZ-10138,0,7.29,0.06505279,Polygynandry,Polygynandry,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Ateles,geoffroyi,M,M,USNM-337702,0,7.78,0.06505279,Polygynandry,Polygynandry,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Avahi,laniger,F,F,MCZ-32503,0,1.32,-0.2480729,Pair,Monogamy,1,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Lemuroidea,Avahi,laniger,M,M,MCZ-44878,0,1.03,-0.2480729,Pair,Monogamy,1,Folivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Cacajao,calvus,F,F,USNM-302627,0,2.88,0.1805839,Polygynandry,Harem polygyny,0,Frugivore,0,reflected prior to landmarking due to broken R zygomatic,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Cacajao,calvus,M,M,USNM-302626,0,3.45,0.1805839,Polygynandry,Harem polygyny,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Callicebus,moloch,F,F,AMNH-M-98389,0,0.956,0.06479999,Pair,Monogamy,0,Frugivore,0,missing rhinion,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Callicebus,moloch,M,M,MCZ-30564,0,1.02,0.06479999,Pair,Monogamy,0,Frugivore,0,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Callimico,goeldii,F,B,AMNH-M-98367,1,0.468,0.0641378,Pair,Monogamy,0,Omnivore,0,,"female, captive",DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Callithrix,humeralifera,F,F,MCZ-30577,0,0.446,0.008928631,Pair,Polyandry,0,Omnivore,1,,weighted average of two studies,"Rylands & Silva Jr., 2008. Mico humeralifer. The IUCN Red List of Threatened Species 2008: e.T41521A10488246. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T41521A10488246.en","Rylands, A.B. & Silva Jr., J.S. 2008. Mico humeralifer. The IUCN Red List of Threatened Species 2008: e.T41521A10488246. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T41521A10488246.en."
Ceboidea,Callithrix,humeralifera,M,M,MCZ-30586,0,0.45,0.008928631,Pair,Polyandry,0,Omnivore,1,,weighted average of two studies,"Rylands & Silva Jr., 2008. Mico humeralifer. The IUCN Red List of Threatened Species 2008: e.T41521A10488246. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T41521A10488246.en","Rylands, A.B. & Silva Jr., J.S. 2008. Mico humeralifer. The IUCN Red List of Threatened Species 2008: e.T41521A10488246. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T41521A10488246.en."
Tarsoidea,Carlito,syrichta,M,M,USNM-287761,0,0.134,0.1356659,Solitary,Spatial polygyny,1,Omnivore,0,,reported Tarsius syrichta,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Cebuella,pygmaea,F,F,AMNH-M-76328,0,0.122,-0.1035407,Pair,Polyandry,0,Omnivore,1,,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Cebuella,pygmaea,M,M,AMNH-M-76327,0,0.11,-0.1035407,Pair,Polyandry,0,Omnivore,1,used reflect.coords to reflect inferior orbit margin,,DeCasien et al 2017,DeCasien et al 2017
Ceboidea,Cebus,apella,F,F,MCZ-30724,0,2.52,0.483797,Polygynandry,Polygynandry,0,Omnivore,0,reflected prior to landmarking due to broken R zygomatic,,DeCasien et al 2017,DeCasien et al 2017
